Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7JliXjwDX9WXedHaj3eliX,"The Apocalypse","The Apocalypse","NIVIRO",2018-06-08,195000,16,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"big room","NCS",0.681,0.836,2,-4.386,1,0.0779,0.00146,0.0513,0.428,0.312,127.987,4
spotify:track:46QmXsnHAtVWxhmjhOfdwE,"The Guardian of Angels","The Guardian of Angels","NIVIRO",2017-11-25,215625,22,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"big room","NCS",0.546,0.885,4,-5.102,0,0.0846,0.0278,0.435,0.18,0.165,127.899,4
spotify:track:7tUToegtVh5dodpcqaYrHo,"Castle","Castle","Clarx;Harddope",2020-05-01,158181,30,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"future house,deep house,slap house","NCS",0.672,0.759,8,-7.761,1,0.0266,0.0826,0.00225,0.19,0.217,110.005,4
spotify:track:3Ws2cBe1DAcGph74H6MFdG,"The Other Side","The Other Side","Elektronomia",2017-07-01,251259,19,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.737,0.921,0,-1.777,0,0.105,0.397,0.0000038,0.316,0.199,127.995,4
spotify:track:76gMPZKh0An6M4hlZbEfL3,"The Light","The Light","Tetrix Bass;Veela",2013-03-31,184500,12,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"dubstep,melodic bass,chillstep,liquid funk,drum and bass","NCS",0.407,0.746,0,-5.161,1,0.0326,0.000298,0.0000267,0.101,0.241,139.929,4
spotify:track:1xHUdejUENTYcMhXEtvXUf,"About You","About You","Ascence",2019-08-23,184000,17,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.536,0.955,6,-3.798,1,0.0361,0.00609,0.243,0.386,0.552,150.004,4
spotify:track:4x2T44B2U3vDeCfpyt0HYA,"Throwback","Throwback","Electro-Light",2016-07-02,212808,14,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.556,0.841,9,-7.462,1,0.0643,0.00881,0.687,0.361,0.185,150.065,4
spotify:track:4ZI9sFI6fVbHxdbBM55k4o,"Let Me In","Let Me In","Andromedik",2018-03-02,228275,19,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"drum and bass,liquid funk","NCS",0.446,0.865,0,-2.911,0,0.0545,0.121,0.000483,0.249,0.132,173.991,4
spotify:track:0tm4pmlPcuzJH2sK2gkuQu,"Moments","Moments","Alex Skrindo;Stahl",2015-05-19,201245,15,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.692,0.97,7,-5.766,1,0.0728,0.146,0.13,0.494,0.221,129.96,4
spotify:track:18JxbBMpDo1fbmvFjrhncp,"Stronger - Raiko Remix","Stronger (Raiko Remix)","Prismo;Raiko",2019-01-11,187591,22,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"future bass","NCS",0.424,0.798,9,-4.748,0,0.0597,0.00181,0.000982,0.106,0.143,160.263,4
spotify:track:6fhGeOhCuAECkSf1P1gaTe,"Spirit Of Things","NCS: The Best of 2016","Floatinurboat",2016-12-16,253330,12,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"electroclash","NCS",0.514,0.638,10,-7.576,0,0.0414,0.0123,0.0147,0.0814,0.404,75.007,4
spotify:track:5f1qCD8JhSU1frlTwk6hHW,"Vertigo","Vertigo","Rob Gasser;Laura Brehm",2016-08-30,227852,18,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"dubstep,drumstep,chillstep","NCS",0.504,0.911,7,-3.919,0,0.0396,0.0375,0,0.323,0.606,174.076,4
spotify:track:08MvkxLElcAr67pRjStn0Q,"Remember","Remember","Axol;Levianth;The Tech Thieves",2016-10-01,192857,20,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.606,0.871,1,-6.423,0,0.0349,0.0207,0.000188,0.165,0.394,140.01,4
spotify:track:4uwWyAsyC7tKUvx6ngjlIm,"Tell Me","Tell Me","Alex Skrindo;Killercats",2016-04-12,182608,14,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.379,0.928,8,-3.371,1,0.0818,0.107,0.046,0.479,0.7,103.684,3
spotify:track:3SuxtjdFxY3RIaWyPgtkfk,"Phoenix","Phoenix","Netrum;Halvorsen",2021-08-20,238184,36,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.519,0.88,10,-5.241,0,0.0629,0.000259,0.00101,0.318,0.704,164.982,4
spotify:track:5zrKviCOmCeuBS8KfJXoM7,"RICH","RICH","Raven & Kreyn",2019-06-01,150937,12,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"future house,bass house,big room","NCS",0.776,0.911,2,-4.705,1,0.0747,0.00159,0.28,0.379,0.647,128.051,4
spotify:track:3OgRWuUOktuBGTING1oPld,"About Me","About Me","Koven;ROY KNOX",2019-06-07,154000,23,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"drum and bass,liquid funk,drumstep,chillstep,melodic bass,future bass","NCS",0.517,0.943,8,-2.044,1,0.17,0.00216,0,0.0801,0.48,180.201,4
spotify:track:5SHTX2Lhxyj5WL17xL8l7l,"Be Around","Be Around","Blooom",2020-04-09,203454,22,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"drum and bass","NCS",0.712,0.75,5,-4.785,0,0.0518,0.013,0.0000364,0.146,0.778,110.012,4
spotify:track:4IFzNgv2qEkI1U7TrTUqbm,"Lost","Lost","Kontinuum;Savoi",2015-12-04,237881,13,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"future bass","NCS",0.656,0.828,2,-4.392,1,0.0823,0.0102,0,0.0756,0.0696,113.034,4
spotify:track:25nYhOfqFukpZH25E3OY7X,"Pentakill","Pentakill","Different Heaven;ReesaLunn",2014-12-15,197612,19,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"dubstep","NCS",0.532,0.949,5,-2.233,0,0.328,0.00205,0.00239,0.342,0.453,149.983,4
spotify:track:2NyaaTM7BOAPQaFRIqdE4c,"Electricity","Electricity","Culture Code;Michael Zhonga",2015-07-19,194351,14,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"melodic bass,future bass","NCS",0.553,0.755,11,-5.324,1,0.0321,0.0555,0,0.0884,0.268,125.918,4
spotify:track:6vpge5f6zkcoGyOuTRpbv7,"Steeper","You / Steeper","Curbi;Ash O'Connor",2015-06-15,251836,9,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"future house,bass house","NCS",0.768,0.87,6,-6.213,0,0.0871,0.165,0.746,0.0547,0.46,123.979,4
